o1 o1
0 0.6209447010
1 0.7707707905
2 0.9007909959
3 0.9961012726
4 1.0463293416
5 1.0463293416
6 0.9961012726
7 0.9007909959
8 0.7707707905
9 0.6209447010
10 0.7707707905
11 0.9567480171
12 1.1181404508
13 1.2364478899
14 1.2987953555
15 1.2987953555
16 1.2364478899
17 1.1181404508
18 0.9567480171
19 0.7707707905
20 0.9007909959
21 1.1181404508
22 1.3067579399
23 1.4450224890
24 1.5178872580
25 1.5178872580
26 1.4450224890
27 1.3067579399
28 1.1181404508
29 0.9007909959
30 0.9961012726
31 1.2364478899
32 1.4450224890
33 1.5979164388
34 1.6784908335
35 1.6784908335
36 1.5979164388
37 1.4450224890
38 1.2364478899
39 0.9961012726
40 1.0463293416
41 1.2987953555
42 1.5178872580
43 1.6784908335
44 1.7631281646
45 1.7631281646
46 1.6784908335
47 1.5178872580
48 1.2987953555
49 1.0463293416
50 1.0463293416
51 1.2987953555
52 1.5178872580
53 1.6784908335
54 1.7631281646
55 1.7631281646
56 1.6784908335
57 1.5178872580
58 1.2987953555
59 1.0463293416
60 0.9961012726
61 1.2364478899
62 1.4450224890
63 1.5979164388
64 1.6784908335
65 1.6784908335
66 1.5979164388
67 1.4450224890
68 1.2364478899
69 0.9961012726
70 0.9007909959
71 1.1181404508
72 1.3067579399
73 1.4450224890
74 1.5178872580
75 1.5178872580
76 1.4450224890
77 1.3067579399
78 1.1181404508
79 0.9007909959
80 0.7707707905
81 0.9567480171
82 1.1181404508
83 1.2364478899
84 1.2987953555
85 1.2987953555
86 1.2364478899
87 1.1181404508
88 0.9567480171
89 0.7707707905
90 0.6209447010
91 0.7707707905
92 0.9007909959
93 0.9961012726
94 1.0463293416
95 1.0463293416
96 0.9961012726
97 0.9007909959
98 0.7707707905
99 0.6209447010
o1 o2
0 0.0000000000
1 0.0000000000
2 0.0000000000
3 0.0000000000
4 0.0000000000
5 0.0000000000
6 0.0000000000
7 0.0000000000
8 0.0000000000
9 0.0000000000
10 0.0000000000
11 0.0000000000
12 0.0000000000
13 0.0000000000
14 0.0000000000
15 0.0000000000
16 0.0000000000
17 0.0000000000
18 0.0000000000
19 0.0000000000
20 0.0000000001
21 0.0000000001
22 0.0000000001
23 0.0000000001
24 0.0000000001
25 0.0000000001
26 0.0000000001
27 0.0000000001
28 0.0000000001
29 0.0000000001
30 0.0000000005
31 0.0000000006
32 0.0000000007
33 0.0000000008
34 0.0000000009
35 0.0000000009
36 0.0000000008
37 0.0000000007
38 0.0000000006
39 0.0000000005
40 0.0000000036
41 0.0000000044
42 0.0000000052
43 0.0000000057
44 0.0000000060
45 0.0000000060
46 0.0000000057
47 0.0000000052
48 0.0000000044
49 0.0000000036
50 0.0000000223
51 0.0000000277
52 0.0000000324
53 0.0000000358
54 0.0000000376
55 0.0000000376
56 0.0000000358
57 0.0000000324
58 0.0000000277
59 0.0000000223
60 0.0000001275
61 0.0000001582
62 0.0000001849
63 0.0000002045
64 0.0000002148
65 0.0000002148
66 0.0000002045
67 0.0000001849
68 0.0000001582
69 0.0000001275
70 0.0000006610
71 0.0000008205
72 0.0000009589
73 0.0000010604
74 0.0000011138
75 0.0000011138
76 0.0000010604
77 0.0000009589
78 0.0000008205
79 0.0000006610
80 0.0000031142
81 0.0000038656
82 0.0000045177
83 0.0000049957
84 0.0000052476
85 0.0000052476
86 0.0000049957
87 0.0000045177
88 0.0000038656
89 0.0000031142
90 0.0000133349
91 0.0000165524
92 0.0000193446
93 0.0000213914
94 0.0000224701
95 0.0000224701
96 0.0000213914
97 0.0000193446
98 0.0000165524
99 0.0000133349
o1 o3
0 0.0005964828
1 0.0008867672
2 0.0011939010
3 0.0014557075
4 0.0016074113
5 0.0016074113
6 0.0014557075
7 0.0011939010
8 0.0008867672
9 0.0005964828
10 0.0013000609
11 0.0019327488
12 0.0026021608
13 0.0031727797
14 0.0035034249
15 0.0035034249
16 0.0031727797
17 0.0026021608
18 0.0019327488
19 0.0013000609
20 0.0025957852
21 0.0038590504
22 0.0051956415
23 0.0063349759
24 0.0069951633
25 0.0069951633
26 0.0063349759
27 0.0051956415
28 0.0038590504
29 0.0025957852
30 0.0047582030
31 0.0070738308
32 0.0095238685
33 0.0116123251
34 0.0128224813
35 0.0128224813
36 0.0116123251
37 0.0095238685
38 0.0070738308
39 0.0047582030
40 0.0080285598
41 0.0119357399
42 0.0160697111
43 0.0195935831
44 0.0216354909
45 0.0216354909
46 0.0195935831
47 0.0160697111
48 0.0119357399
49 0.0080285598
50 0.0125106503
51 0.0185990852
52 0.0250409216
53 0.0305320597
54 0.0337138999
55 0.0337138999
56 0.0305320597
57 0.0250409216
58 0.0185990852
59 0.0125106503
60 0.0180773425
61 0.0268748645
62 0.0361830363
63 0.0441174906
64 0.0487151105
65 0.0487151105
66 0.0441174906
67 0.0361830363
68 0.0268748645
69 0.0180773425
70 0.0243426956
71 0.0361893152
72 0.0487235687
73 0.0594079934
74 0.0655990838
75 0.0655990838
76 0.0594079934
77 0.0487235687
78 0.0361893152
79 0.0243426956
80 0.0307330639
81 0.0456896211
82 0.0615143276
83 0.0750035942
84 0.0828199503
85 0.0828199503
86 0.0750035942
87 0.0615143276
88 0.0456896211
89 0.0307330639
90 0.0366396577
91 0.0544707186
92 0.0733367787
93 0.0894185501
94 0.0987371332
95 0.0987371332
96 0.0894185501
97 0.0733367787
98 0.0544707186
99 0.0366396577
o2 o1
0 0.0000133349
1 0.0000165524
2 0.0000193446
3 0.0000213914
4 0.0000224701
5 0.0000224701
6 0.0000213914
7 0.0000193446
8 0.0000165524
9 0.0000133349
10 0.0000031142
11 0.0000038656
12 0.0000045177
13 0.0000049957
14 0.0000052476
15 0.0000052476
16 0.0000049957
17 0.0000045177
18 0.0000038656
19 0.0000031142
20 0.0000006610
21 0.0000008205
22 0.0000009589
23 0.0000010604
24 0.0000011138
25 0.0000011138
26 0.0000010604
27 0.0000009589
28 0.0000008205
29 0.0000006610
30 0.0000001275
31 0.0000001582
32 0.0000001849
33 0.0000002045
34 0.0000002148
35 0.0000002148
36 0.0000002045
37 0.0000001849
38 0.0000001582
39 0.0000001275
40 0.0000000223
41 0.0000000277
42 0.0000000324
43 0.0000000358
44 0.0000000376
45 0.0000000376
46 0.0000000358
47 0.0000000324
48 0.0000000277
49 0.0000000223
50 0.0000000036
51 0.0000000044
52 0.0000000052
53 0.0000000057
54 0.0000000060
55 0.0000000060
56 0.0000000057
57 0.0000000052
58 0.0000000044
59 0.0000000036
60 0.0000000005
61 0.0000000006
62 0.0000000007
63 0.0000000008
64 0.0000000009
65 0.0000000009
66 0.0000000008
67 0.0000000007
68 0.0000000006
69 0.0000000005
70 0.0000000001
71 0.0000000001
72 0.0000000001
73 0.0000000001
74 0.0000000001
75 0.0000000001
76 0.0000000001
77 0.0000000001
78 0.0000000001
79 0.0000000001
80 0.0000000000
81 0.0000000000
82 0.0000000000
83 0.0000000000
84 0.0000000000
85 0.0000000000
86 0.0000000000
87 0.0000000000
88 0.0000000000
89 0.0000000000
90 0.0000000000
91 0.0000000000
