o1 o1
0 0.6209447010
1 0.7707707905
2 0.9007909959
3 0.9961012726
4 1.0463293416
5 1.0463293416
6 0.9961012726
7 0.9007909959
8 0.7707707905
9 0.6209447010
10 0.7707707905
11 0.9567480171
12 1.1181404508
13 1.2364478899
14 1.2987953555
15 1.2987953555
16 1.2364478899
17 1.1181404508
18 0.9567480171
19 0.7707707905
20 0.9007909959
21 1.1181404508
22 1.3067579399
23 1.4450224890
24 1.5178872580
25 1.5178872580
26 1.4450224890
27 1.3067579399
28 1.1181404508
29 0.9007909959
30 0.9961012726
31 1.2364478899
32 1.4450224890
33 1.5979164388
34 1.6784908335
35 1.6784908335
36 1.5979164388
37 1.4450224890
38 1.2364478899
39 0.9961012726
40 1.0463293416
41 1.2987953555
42 1.5178872580
43 1.6784908335
44 1.7631281646
45 1.7631281646
46 1.6784908335
47 1.5178872580
48 1.2987953555
49 1.0463293416
50 1.0463293416
51 1.2987953555
52 1.5178872580
53 1.6784908335
54 1.7631281646
55 1.7631281646
56 1.6784908335
57 1.5178872580
58 1.2987953555
59 1.0463293416
60 0.9961012726
61 1.2364478899
62 1.4450224890
63 1.5979164388
64 1.6784908335
65 1.6784908335
66 1.5979164388
67 1.4450224890
68 1.2364478899
69 0.9961012726
70 0.9007909959
71 1.1181404508
72 1.3067579399
73 1.4450224890
74 1.5178872580
75 1.5178872580
76 1.4450224890
77 1.3067579399
78 1.1181404508
79 0.9007909959
80 0.7707707905
81 0.9567480171
82 1.1181404508
83 1.2364478899
84 1.2987953555
85 1.2987953555
86 1.2364478899
87 1.1181404508
88 0.9567480171
89 0.7707707905
90 0.6209447010
91 0.7707707905
92 0.9007909959
93 0.9961012726
94 1.0463293416
95 1.0463293416
96 0.9961012726
97 0.9007909959
98 0.7707707905
99 0.6209447010
o1 o2
0 0.0000000090
1 0.0000000112
2 0.0000000131
3 0.0000000145
4 0.0000000152
5 0.0000000152
6 0.0000000145
7 0.0000000131
8 0.0000000112
9 0.0000000090
10 0.0000000540
11 0.0000000670
12 0.0000000783
13 0.0000000866
14 0.0000000910
15 0.0000000910
16 0.0000000866
17 0.0000000783
18 0.0000000670
19 0.0000000540
20 0.0000002938
21 0.0000003647
22 0.0000004262
23 0.0000004713
24 0.0000004950
25 0.0000004950
26 0.0000004713
27 0.0000004262
28 0.0000003647
29 0.0000002938
30 0.0000014520
31 0.0000018024
32 0.0000021064
33 0.0000023293
34 0.0000024467
35 0.0000024467
36 0.0000023293
37 0.0000021064
38 0.0000018024
39 0.0000014520
40 0.0000065214
41 0.0000080949
42 0.0000094604
43 0.0000104614
44 0.0000109889
45 0.0000109889
46 0.0000104614
47 0.0000094604
48 0.0000080949
49 0.0000065214
50 0.0000266266
51 0.0000330513
52 0.0000386267
53 0.0000427137
54 0.0000448675
55 0.0000448675
56 0.0000427137
57 0.0000386267
58 0.0000330513
59 0.0000266266
60 0.0000988817
61 0.0001227406
62 0.0001434455
63 0.0001586231
64 0.0001666216
65 0.0001666216
66 0.0001586231
67 0.0001434455
68 0.0001227406
69 0.0000988817
70 0.0003341880
71 0.0004148234
72 0.0004847993
73 0.0005360946
74 0.0005631270
75 0.0005631270
76 0.0005360946
77 0.0004847993
78 0.0004148234
79 0.0003341880
80 0.0010285874
81 0.0012767725
82 0.0014921494
83 0.0016500297
84 0.0017332319
85 0.0017332319
86 0.0016500297
87 0.0014921494
88 0.0012767725
89 0.0010285874
90 0.0028855294
91 0.0035817711
92 0.0041859749
93 0.0046288817
94 0.0048622915
95 0.0048622915
96 0.0046288817
97 0.0041859749
98 0.0035817711
99 0.0028855294
o1 o3
0 0.0005964828
1 0.0008867671
2 0.0011939010
3 0.0014557075
4 0.0016074112
5 0.0016074112
6 0.0014557075
7 0.0011939010
8 0.0008867671
9 0.0005964828
10 0.0013000608
11 0.0019327486
12 0.0026021606
13 0.0031727795
14 0.0035034247
15 0.0035034247
16 0.0031727795
17 0.0026021606
18 0.0019327486
19 0.0013000608
20 0.0025957847
21 0.0038590496
22 0.0051956404
23 0.0063349746
24 0.0069951619
25 0.0069951619
26 0.0063349746
27 0.0051956404
28 0.0038590496
29 0.0025957847
30 0.0047581998
31 0.0070738260
32 0.0095238621
33 0.0116123173
34 0.0128224727
35 0.0128224727
36 0.0116123173
37 0.0095238621
38 0.0070738260
39 0.0047581998
40 0.0080285430
41 0.0119357148
42 0.0160696774
43 0.0195935421
44 0.0216354456
45 0.0216354456
46 0.0195935421
47 0.0160696774
48 0.0119357148
49 0.0080285430
50 0.0125105691
51 0.0185989644
52 0.0250407590
53 0.0305318614
54 0.0337136809
55 0.0337136809
56 0.0305318614
57 0.0250407590
58 0.0185989644
59 0.0125105691
60 0.0180769845
61 0.0268743323
62 0.0361823198
63 0.0441166170
64 0.0487141459
65 0.0487141459
66 0.0441166170
67 0.0361823198
68 0.0268743323
69 0.0180769845
70 0.0243412623
71 0.0361871844
72 0.0487206999
73 0.0594044956
74 0.0655952215
75 0.0655952215
76 0.0594044956
77 0.0487206999
78 0.0361871844
79 0.0243412623
80 0.0307278438
81 0.0456818606
82 0.0615038793
83 0.0749908546
84 0.0828058831
85 0.0828058831
86 0.0749908546
87 0.0615038793
88 0.0456818606
89 0.0307278438
90 0.0366223573
91 0.0544449989
92 0.0733021509
93 0.0893763289
94 0.0986905120
95 0.0986905120
96 0.0893763289
97 0.0733021509
98 0.0544449989
99 0.0366223573
o2 o1
0 0.0028855294
1 0.0035817711
2 0.0041859749
3 0.0046288817
4 0.0048622915
5 0.0048622915
6 0.0046288817
7 0.0041859749
8 0.0035817711
9 0.0028855294
10 0.0010285874
11 0.0012767725
12 0.0014921494
13 0.0016500297
14 0.0017332319
15 0.0017332319
16 0.0016500297
17 0.0014921494
18 0.0012767725
19 0.0010285874
20 0.0003341880
21 0.0004148234
22 0.0004847993
23 0.0005360946
24 0.0005631270
25 0.0005631270
26 0.0005360946
27 0.0004847993
28 0.0004148234
29 0.0003341880
30 0.0000988817
31 0.0001227406
32 0.0001434455
33 0.0001586231
34 0.0001666216
35 0.0001666216
36 0.0001586231
37 0.0001434455
38 0.0001227406
39 0.0000988817
40 0.0000266266
41 0.0000330513
42 0.0000386267
43 0.0000427137
44 0.0000448675
45 0.0000448675
46 0.0000427137
47 0.0000386267
48 0.0000330513
49 0.0000266266
50 0.0000065214
51 0.0000080949
52 0.0000094604
53 0.0000104614
54 0.0000109889
55 0.0000109889
56 0.0000104614
57 0.0000094604
58 0.0000080949
59 0.0000065214
60 0.0000014520
61 0.0000018024
62 0.0000021064
63 0.0000023293
64 0.0000024467
65 0.0000024467
66 0.0000023293
67 0.0000021064
68 0.0000018024
69 0.0000014520
70 0.0000002938
71 0.0000003647
72 0.0000004262
73 0.0000004713
74 0.0000004950
75 0.0000004950
76 0.0000004713
77 0.0000004262
78 0.0000003647
79 0.0000002938
80 0.0000000540
81 0.0000000670
82 0.0000000783
83 0.0000000866
84 0.0000000910
85 0.0000000910
86 0.0000000866
87 0.0000000783
88 0.0000000670
89 0.0000000540
90 0.0000000090
91 0.0000000112
