o1 o1
0 0.6209447010
1 0.7707707905
2 0.9007909959
3 0.9961012726
4 1.0463293416
5 1.0463293416
6 0.9961012726
7 0.9007909959
8 0.7707707905
9 0.6209447010
10 0.7707707905
11 0.9567480171
12 1.1181404508
13 1.2364478899
14 1.2987953555
15 1.2987953555
16 1.2364478899
17 1.1181404508
18 0.9567480171
19 0.7707707905
20 0.9007909959
21 1.1181404508
22 1.3067579399
23 1.4450224890
24 1.5178872580
25 1.5178872580
26 1.4450224890
27 1.3067579399
28 1.1181404508
29 0.9007909959
30 0.9961012726
31 1.2364478899
32 1.4450224890
33 1.5979164388
34 1.6784908335
35 1.6784908335
36 1.5979164388
37 1.4450224890
38 1.2364478899
39 0.9961012726
40 1.0463293416
41 1.2987953555
42 1.5178872580
43 1.6784908335
44 1.7631281646
45 1.7631281646
46 1.6784908335
47 1.5178872580
48 1.2987953555
49 1.0463293416
50 1.0463293416
51 1.2987953555
52 1.5178872580
53 1.6784908335
54 1.7631281646
55 1.7631281646
56 1.6784908335
57 1.5178872580
58 1.2987953555
59 1.0463293416
60 0.9961012726
61 1.2364478899
62 1.4450224890
63 1.5979164388
64 1.6784908335
65 1.6784908335
66 1.5979164388
67 1.4450224890
68 1.2364478899
69 0.9961012726
70 0.9007909959
71 1.1181404508
72 1.3067579399
73 1.4450224890
74 1.5178872580
75 1.5178872580
76 1.4450224890
77 1.3067579399
78 1.1181404508
79 0.9007909959
80 0.7707707905
81 0.9567480171
82 1.1181404508
83 1.2364478899
84 1.2987953555
85 1.2987953555
86 1.2364478899
87 1.1181404508
88 0.9567480171
89 0.7707707905
90 0.6209447010
91 0.7707707905
92 0.9007909959
93 0.9961012726
94 1.0463293416
95 1.0463293416
96 0.9961012726
97 0.9007909959
98 0.7707707905
99 0.6209447010
o1 o2
0 0.0000000000
1 0.0000000000
2 0.0000000000
3 0.0000000000
4 0.0000000000
5 0.0000000000
6 0.0000000000
7 0.0000000000
8 0.0000000000
9 0.0000000000
10 0.0000000000
11 0.0000000000
12 0.0000000000
13 0.0000000000
14 0.0000000000
15 0.0000000000
16 0.0000000000
17 0.0000000000
18 0.0000000000
19 0.0000000000
20 0.0000000000
21 0.0000000000
22 0.0000000000
23 0.0000000000
24 0.0000000000
25 0.0000000000
26 0.0000000000
27 0.0000000000
28 0.0000000000
29 0.0000000000
30 0.0000000000
31 0.0000000000
32 0.0000000000
33 0.0000000000
34 0.0000000000
35 0.0000000000
36 0.0000000000
37 0.0000000000
38 0.0000000000
39 0.0000000000
40 0.0000000000
41 0.0000000000
42 0.0000000000
43 0.0000000000
44 0.0000000000
45 0.0000000000
46 0.0000000000
47 0.0000000000
48 0.0000000000
49 0.0000000000
50 0.0000000000
51 0.0000000000
52 0.0000000000
53 0.0000000000
54 0.0000000000
55 0.0000000000
56 0.0000000000
57 0.0000000000
58 0.0000000000
59 0.0000000000
60 0.0000000000
61 0.0000000000
62 0.0000000000
63 0.0000000000
64 0.0000000000
65 0.0000000000
66 0.0000000000
67 0.0000000000
68 0.0000000000
69 0.0000000000
70 0.0000000000
71 0.0000000000
72 0.0000000000
73 0.0000000000
74 0.0000000000
75 0.0000000000
76 0.0000000000
77 0.0000000000
78 0.0000000000
79 0.0000000000
80 0.0000000000
81 0.0000000000
82 0.0000000000
83 0.0000000000
84 0.0000000000
85 0.0000000000
86 0.0000000000
87 0.0000000000
88 0.0000000000
89 0.0000000000
90 0.0000000000
91 0.0000000000
92 0.0000000000
93 0.0000000000
94 0.0000000000
95 0.0000000000
96 0.0000000000
97 0.0000000000
98 0.0000000000
99 0.0000000000
o1 o3
0 0.0005964828
1 0.0008867672
2 0.0011939010
3 0.0014557075
4 0.0016074113
5 0.0016074113
6 0.0014557075
7 0.0011939010
8 0.0008867672
9 0.0005964828
10 0.0013000609
11 0.0019327488
12 0.0026021608
13 0.0031727797
14 0.0035034249
15 0.0035034249
16 0.0031727797
17 0.0026021608
18 0.0019327488
19 0.0013000609
20 0.0025957852
21 0.0038590504
22 0.0051956415
23 0.0063349759
24 0.0069951633
25 0.0069951633
26 0.0063349759
27 0.0051956415
28 0.0038590504
29 0.0025957852
30 0.0047582030
31 0.0070738307
32 0.0095238684
33 0.0116123250
34 0.0128224812
35 0.0128224812
36 0.0116123250
37 0.0095238684
38 0.0070738307
39 0.0047582030
40 0.0080285598
41 0.0119357398
42 0.0160697110
43 0.0195935830
44 0.0216354908
45 0.0216354908
46 0.0195935830
47 0.0160697110
48 0.0119357398
49 0.0080285598
50 0.0125106504
51 0.0185990853
52 0.0250409217
53 0.0305320598
54 0.0337139001
55 0.0337139001
56 0.0305320598
57 0.0250409217
58 0.0185990853
59 0.0125106504
60 0.0180773425
61 0.0268748645
62 0.0361830363
63 0.0441174906
64 0.0487151105
65 0.0487151105
66 0.0441174906
67 0.0361830363
68 0.0268748645
69 0.0180773425
70 0.0243426969
71 0.0361893171
72 0.0487235713
73 0.0594079966
74 0.0655990874
75 0.0655990874
76 0.0594079966
77 0.0487235713
78 0.0361893171
79 0.0243426969
80 0.0307330712
81 0.0456896319
82 0.0615143422
83 0.0750036120
84 0.0828199700
85 0.0828199700
86 0.0750036120
87 0.0615143422
88 0.0456896319
89 0.0307330712
90 0.0366396948
91 0.0544707738
92 0.0733368530
93 0.0894186407
94 0.0987372333
95 0.0987372333
96 0.0894186407
97 0.0733368530
98 0.0544707738
99 0.0366396948
o2 o1
0 0.0000000000
1 0.0000000000
2 0.0000000000
3 0.0000000000
4 0.0000000000
5 0.0000000000
6 0.0000000000
7 0.0000000000
8 0.0000000000
9 0.0000000000
10 0.0000000000
11 0.0000000000
12 0.0000000000
13 0.0000000000
14 0.0000000000
15 0.0000000000
16 0.0000000000
17 0.0000000000
18 0.0000000000
19 0.0000000000
20 0.0000000000
21 0.0000000000
22 0.0000000000
23 0.0000000000
24 0.0000000000
25 0.0000000000
26 0.0000000000
27 0.0000000000
28 0.0000000000
29 0.0000000000
30 0.0000000000
31 0.0000000000
32 0.0000000000
33 0.0000000000
34 0.0000000000
35 0.0000000000
36 0.0000000000
37 0.0000000000
38 0.0000000000
39 0.0000000000
40 0.0000000000
41 0.0000000000
42 0.0000000000
43 0.0000000000
44 0.0000000000
45 0.0000000000
46 0.0000000000
47 0.0000000000
48 0.0000000000
49 0.0000000000
50 0.0000000000
51 0.0000000000
52 0.0000000000
53 0.0000000000
54 0.0000000000
55 0.0000000000
56 0.0000000000
57 0.0000000000
58 0.0000000000
59 0.0000000000
60 0.0000000000
61 0.0000000000
62 0.0000000000
63 0.0000000000
64 0.0000000000
65 0.0000000000
66 0.0000000000
67 0.0000000000
68 0.0000000000
69 0.0000000000
70 0.0000000000
71 0.0000000000
72 0.0000000000
73 0.0000000000
74 0.0000000000
75 0.0000000000
76 0.0000000000
77 0.0000000000
78 0.0000000000
79 0.0000000000
80 0.0000000000
81 0.0000000000
82 0.0000000000
83 0.0000000000
84 0.0000000000
85 0.0000000000
86 0.0000000000
87 0.0000000000
88 0.0000000000
89 0.0000000000
90 0.0000000000
91 0.0000000000
